Gene names	RBC	Plasma	Matrisome 1	Matrisome 2	Matrisome 3	Plasma 1	Subcellular location [CC]
Fgb	RBC	Plasma	Core matrisome	ECM Glycoproteins	Structural ECM	coag	Secreted
Fn1	RBC	Plasma	Core matrisome	ECM Glycoproteins	Structural ECM	coag	Secreted
Fgg	RBC	Plasma	Core matrisome	ECM Glycoproteins	Structural ECM	caog	Secreted
Fga	RBC	Plasma	Core matrisome	ECM Glycoproteins	Structural ECM	coag	Secreted
Vtn	RBC	Plasma	Core matrisome	ECM Glycoproteins	matricellular	comp	Secreted
Igfals	RBC	Plasma	Core matrisome	ECM Glycoproteins	matricellular?	carrier	Secreted
Fbln1	NA	Plasma	Core matrisome	ECM Glycoproteins	Structural ECM	BM	Secreted
Ecm1	NA	Plasma	Core matrisome	ECM Glycoproteins	Other ECM	NA	Secreted
Efemp1	NA	Plasma	Core matrisome	ECM Glycoproteins	Structural ECM	NA	Secreted
Vwf	RBC	Plasma	Core matrisome	ECM Glycoproteins	NA	coag	Secreted
Lum	RBC	Plasma	Core matrisome	Proteoglycans	Structural ECM	NA	Secreted
Thbs1	RBC	Plasma	Core matrisome	ECM Glycoproteins	Matricellular	NA	Secreted
Thbs4	NA	Plasma	Core matrisome	ECM Glycoproteins	Matricellular	NA	Endoplasmic reticulum
Adipoq	RBC	Plasma	Core matrisome	ECM Glycoproteins	Signalling	NA	Secreted
Postn	NA	Plasma	Core matrisome	ECM Glycoproteins	Matricellular	NA	Golgi apparatus
Sparcl1	NA	Plasma	Core matrisome	ECM Glycoproteins	Matricellular	NA	Secreted
Col1a1	NA	Plasma	Core matrisome	Collagens	Fibrillar Collagen	ECM	Secreted
Tgfbi	NA	Plasma	Core matrisome	ECM Glycoproteins	Signalling	NA	Secreted
Igfbp4	NA	Plasma	Core matrisome	ECM Glycoproteins	NA	carrier	Secreted
Igfbp3	NA	Plasma	Core matrisome	ECM Glycoproteins	NA	carrier	Secreted
Mfap4	RBC	Plasma	Core matrisome	ECM Glycoproteins	Structural ECM	NA	Secreted
Fbln5	NA	Plasma	Core matrisome	ECM Glycoproteins	Structural ECM	NA	Secreted
Comp	NA	Plasma	Core matrisome	ECM Glycoproteins	Structural ECM	NA	Secreted
Efemp2	NA	Plasma	Core matrisome	ECM Glycoproteins	Structural ECM	NA	Secreted
Nid1	NA	Plasma	Core matrisome	ECM Glycoproteins	Structural ECM	NA	Secreted
Col3a1	NA	Plasma	Core matrisome	Collagens	Fibrillar Collagen	NA	Secreted
Prg4	NA	Plasma	Core matrisome	Proteoglycans	NA	NA	Secreted
Col1a2	NA	Plasma	Core matrisome	Collagens	Fibrillar Collagen	NA	Secreted
Dspp	NA	Plasma	Core matrisome	ECM Glycoproteins	NA	NA	Secreted
Spp1	NA	Plasma	Core matrisome	ECM Glycoproteins	Structural ECM	NA	Secreted
Igfbp2	NA	Plasma	Core matrisome	ECM Glycoproteins	NA	NA	Secreted
Tnc	NA	Plasma	Core matrisome	ECM Glycoproteins	Matricellular	NA	Secreted
Fgl1	NA	Plasma	Core matrisome	ECM Glycoproteins	Structural ECM	coag	Secreted
Dpt	NA	Plasma	Core matrisome	ECM Glycoproteins	Structural ECM	NA	Secreted
Mmrn2	NA	Plasma	Core matrisome	ECM Glycoproteins	NA	NA	Secreted
Reln	NA	Plasma	Core matrisome	ECM Glycoproteins	Protease	NA	Secreted
Mmrn1	RBC	Plasma	Core matrisome	ECM Glycoproteins	NA	NA	Secreted
Acan	NA	NA	Core matrisome	Proteoglycans	Structural ECM	NA	Secreted
Agrn	NA	NA	Core matrisome	ECM Glycoproteins	Structural ECM	NA	Cell junction
Hspg2	NA	NA	Core matrisome	Proteoglycans	Structural ECM	BM	Secreted
Bgn	NA	NA	Core matrisome	Proteoglycans	Structural ECM	NA	Secreted
Cilp	NA	NA	Core matrisome	ECM Glycoproteins	Structural ECM	NA	Secreted
Cilp2	NA	NA	Core matrisome	ECM Glycoproteins	Structural ECM	NA	Secreted
Matn1	NA	NA	Core matrisome	ECM Glycoproteins	Structural ECM	NA	Secreted
Chad	NA	NA	Core matrisome	Proteoglycans	Structural ECM	NA	Secreted
Chadl	NA	NA	Core matrisome	Proteoglycans	Structural ECM	NA	Secreted
Dcn	NA	NA	Core matrisome	Proteoglycans	Structural ECM	NA	Secreted
Eln	NA	NA	Core matrisome	ECM Glycoproteins	Structural ECM	NA	Secreted
Emid1	NA	NA	Core matrisome	ECM Glycoproteins	Structural ECM	NA	Secreted
Emilin1	RBC	NA	Core matrisome	ECM Glycoproteins	Structural ECM	NA	Secreted
Emilin2	NA	NA	Core matrisome	ECM Glycoproteins	Structural ECM	NA	Secreted
Emilin3	NA	NA	Core matrisome	ECM Glycoproteins	Structural ECM	NA	Secreted
Fbn1	NA	NA	Core matrisome	ECM Glycoproteins	Structural ECM	NA	Secreted
Fbn2	NA	NA	Core matrisome	ECM Glycoproteins	Structural ECM	NA	Secreted
Fgl2	NA	NA	Core matrisome	ECM Glycoproteins	Structural ECM	NA	Secreted
Fmod	NA	NA	Core matrisome	Proteoglycans	Structural ECM	NA	Secreted
Fbln2	NA	NA	Core matrisome	ECM Glycoproteins	Structural ECM	NA	Secreted
Fbln7	NA	NA	Core matrisome	ECM Glycoproteins	Structural ECM	NA	Secreted
Hapln1	NA	NA	Core matrisome	Proteoglycans	Structural ECM	NA	Secreted
Hapln2	NA	NA	Core matrisome	Proteoglycans	Structural ECM	NA	Secreted
Hapln3	NA	NA	Core matrisome	Proteoglycans	Structural ECM	NA	Secreted
Hapln4	NA	NA	Core matrisome	Proteoglycans	Structural ECM	NA	Secreted
Lama1	NA	NA	Core matrisome	ECM Glycoproteins	Structural ECM	BM	Secreted
Lama2	NA	NA	Core matrisome	ECM Glycoproteins	Structural ECM	BM	Secreted
Lama3	NA	NA	Core matrisome	ECM Glycoproteins	Structural ECM	BM	Secreted
Lama4	NA	NA	Core matrisome	ECM Glycoproteins	Structural ECM	BM	Secreted
Lama5	NA	NA	Core matrisome	ECM Glycoproteins	Structural ECM	BM	Secreted
Lamb1	NA	NA	Core matrisome	ECM Glycoproteins	Structural ECM	BM	Secreted
Lamb2	NA	NA	Core matrisome	ECM Glycoproteins	Structural ECM	BM	Secreted
Lamb3	NA	NA	Core matrisome	ECM Glycoproteins	Structural ECM	BM	Secreted
Lamc1	NA	NA	Core matrisome	ECM Glycoproteins	Structural ECM	BM	Secreted
Lamc2	NA	NA	Core matrisome	ECM Glycoproteins	Structural ECM	BM	Secreted
Lamc3	NA	NA	Core matrisome	ECM Glycoproteins	Structural ECM	BM	Secreted
Matn2	NA	NA	Core matrisome	ECM Glycoproteins	Structural ECM	NA	Secreted
Matn3	NA	NA	Core matrisome	ECM Glycoproteins	Structural ECM	NA	Secreted
Matn4	NA	NA	Core matrisome	ECM Glycoproteins	Structural ECM	NA	Secreted
Mfap3	NA	NA	Core matrisome	ECM Glycoproteins	Structural ECM	NA	Cell membrane
Mfap2	NA	NA	Core matrisome	ECM Glycoproteins	Structural ECM	NA	Secreted
Mfap5	NA	NA	Core matrisome	ECM Glycoproteins	Structural ECM	NA	Secreted
Nid2	NA	NA	Core matrisome	ECM Glycoproteins	Structural ECM	NA	Secreted
Omd	NA	NA	Core matrisome	Proteoglycans	Structural ECM	NA	Secreted
Prelp	NA	NA	Core matrisome	Proteoglycans	Structural ECM	NA	Secreted
Vcan	NA	NA	Core matrisome	Proteoglycans	Structural ECM	NA	Secreted
Ltbp1	RBC	NA	Core matrisome	ECM Glycoproteins	Signalling	NA	Secreted
Ltbp2	NA	NA	Core matrisome	ECM Glycoproteins	Signalling	NA	Secreted
Ltbp3	NA	NA	Core matrisome	ECM Glycoproteins	Signalling	NA	Secreted
Ltbp4	NA	NA	Core matrisome	ECM Glycoproteins	Signalling	NA	Secreted
Papln	NA	NA	Core matrisome	ECM Glycoproteins	Protease Inhibitor	NA	Secreted
Pcolce	NA	NA	Core matrisome	ECM Glycoproteins	Protease Enhancer	NA	Secreted
Pcolce2	NA	NA	Core matrisome	ECM Glycoproteins	Protease Enhancer	NA	Secreted
Aspn	NA	NA	Core matrisome	Proteoglycans	Other ECM	NA	Secreted
Bcan	NA	NA	Core matrisome	Proteoglycans	Other ECM	NA	Secreted
Epyc	NA	NA	Core matrisome	Proteoglycans	Other ECM	NA	Secreted
Ecm2	NA	NA	Core matrisome	ECM Glycoproteins	Other ECM	NA	Secreted
Kera	NA	NA	Core matrisome	Proteoglycans	Other ECM	NA	Secreted
Mgp	NA	NA	Core matrisome	ECM Glycoproteins	Other ECM	NA	Secreted
Ogn	NA	NA	Core matrisome	Proteoglycans	Other ECM	NA	Secreted
Npnt	NA	NA	Core matrisome	ECM Glycoproteins	Other ECM	NA	Secreted
Ntn1	NA	NA	Core matrisome	ECM Glycoproteins	Other ECM	NA	Secreted
Ntn3	NA	NA	Core matrisome	ECM Glycoproteins	Other ECM	NA	Secreted
Ntn4	NA	NA	Core matrisome	ECM Glycoproteins	Other ECM	NA	Secreted
Ntn5	NA	NA	Core matrisome	ECM Glycoproteins	Other ECM	NA	Secreted
Ntng1	NA	NA	Core matrisome	ECM Glycoproteins	Other ECM	NA	Cell membrane
Ntng2	NA	NA	Core matrisome	ECM Glycoproteins	Other ECM	NA	Cell membrane
Optc	NA	NA	Core matrisome	Proteoglycans	Other ECM	NA	Secreted
Spock1	NA	NA	Core matrisome	Proteoglycans	Other ECM	NA	Secreted
Spock2	NA	NA	Core matrisome	Proteoglycans	Other ECM	NA	Secreted
Spock3	NA	NA	Core matrisome	Proteoglycans	Other ECM	NA	Secreted
Tsku	NA	NA	Core matrisome	ECM Glycoproteins	Other ECM	NA	Secreted
Col6a1	NA	NA	Core matrisome	Collagens	Other Collagen	NA	Secreted
Col7a1	NA	NA	Core matrisome	Collagens	Other Collagen	NA	Secreted
Col26a1	NA	NA	Core matrisome	Collagens	Other Collagen	NA	Secreted
Col28a1	NA	NA	Core matrisome	Collagens	Other Collagen	NA	Secreted
Col6a2	NA	NA	Core matrisome	Collagens	Other Collagen	NA	Secreted
Col6a5	NA	NA	Core matrisome	Collagens	Other Collagen	NA	Secreted
Col6a6	NA	NA	Core matrisome	Collagens	Other Collagen	NA	Secreted
Col4a1	NA	NA	Core matrisome	Collagens	Network-forming Collagen	BM	Secreted
Col8a1	NA	NA	Core matrisome	Collagens	Network-forming Collagen	NA	Secreted
Col10a1	NA	NA	Core matrisome	Collagens	Network-forming Collagen	NA	Secreted
Col13a1	NA	NA	Core matrisome	Collagens	Network-forming Collagen	NA	Cell membrane
Col4a2	NA	NA	Core matrisome	Collagens	Network-forming Collagen	BM	Secreted
Col8a2	NA	NA	Core matrisome	Collagens	Network-forming Collagen	NA	Secreted
Col4a3	NA	NA	Core matrisome	Collagens	Network-forming Collagen	BM	Secreted
Col4a4	NA	NA	Core matrisome	Collagens	Network-forming Collagen	BM	Secreted
Col15a1	NA	NA	Core matrisome	Collagens	Multiplexin	NA	Secreted
Col18a1	NA	NA	Core matrisome	Collagens	Multiplexin	NA	Secreted
Col17a1	NA	NA	Core matrisome	Collagens	Membrane Collagen	NA	Cell junction
Col23a1	NA	NA	Core matrisome	Collagens	Membrane Collagen	NA	Cell membrane
Col25a1	NA	NA	Core matrisome	Collagens	Membrane Collagen	NA	Membrane
Hmcn1	NA	NA	Core matrisome	ECM Glycoproteins	Matricellular	NA	Secreted
Hmcn2	NA	NA	Core matrisome	ECM Glycoproteins	Matricellular	NA	Secreted
Sparc	NA	NA	Core matrisome	ECM Glycoproteins	Matricellular	NA	Secreted
Spon1	NA	NA	Core matrisome	ECM Glycoproteins	Matricellular	NA	Secreted
Spon2	NA	NA	Core matrisome	ECM Glycoproteins	Matricellular	NA	Secreted
Tnn	NA	NA	Core matrisome	ECM Glycoproteins	Matricellular	NA	Secreted
Tnr	NA	NA	Core matrisome	ECM Glycoproteins	Matricellular	NA	Secreted
Thbs2	NA	NA	Core matrisome	ECM Glycoproteins	Matricellular	NA	NA
Thbs3	NA	NA	Core matrisome	ECM Glycoproteins	Matricellular	NA	NA
Col2a1	NA	NA	Core matrisome	Collagens	Fibrillar Collagen	NA	Secreted
Col5a1	NA	NA	Core matrisome	Collagens	Fibrillar Collagen	NA	Secreted
Col11a1	NA	NA	Core matrisome	Collagens	Fibrillar Collagen	NA	Secreted
Col24a1	NA	NA	Core matrisome	Collagens	Fibrillar Collagen	NA	Secreted
Col27a1	NA	NA	Core matrisome	Collagens	Fibrillar Collagen	NA	Secreted
Col5a2	NA	NA	Core matrisome	Collagens	Fibrillar Collagen	NA	Secreted
Col11a2	NA	NA	Core matrisome	Collagens	Fibrillar Collagen	NA	Secreted
Col9a1	NA	NA	Core matrisome	Collagens	FACIT Collagen	NA	Secreted
Col12a1	NA	NA	Core matrisome	Collagens	FACIT Collagen	NA	Secreted
Col14a1	NA	NA	Core matrisome	Collagens	FACIT Collagen	NA	Secreted
Col19a1	NA	NA	Core matrisome	Collagens	FACIT Collagen	NA	Secreted
Col16a1	NA	NA	Core matrisome	Collagens	FACIT Collagen	NA	Secreted
Col20a1	NA	NA	Core matrisome	Collagens	FACIT Collagen	NA	Secreted
Col9a2	NA	NA	Core matrisome	Collagens	FACIT Collagen	NA	Secreted
Srgn	NA	NA	Core matrisome	Proteoglycans	ECM Regulator	NA	Cytoplasmic granule
Pxdn	NA	NA	Core matrisome	ECM Glycoproteins	Crosslinking Enzyme	NA	Secreted
Colq	NA	NA	Core matrisome	ECM Glycoproteins	NA	NA	Cell junction
Aebp1	NA	NA	Core matrisome	ECM Glycoproteins	NA	NA	Secreted
Tecta	NA	NA	Core matrisome	ECM Glycoproteins	NA	NA	Cell membrane
Ambn	NA	NA	Core matrisome	ECM Glycoproteins	NA	NA	Secreted
Amelx	NA	NA	Core matrisome	ECM Glycoproteins	NA	NA	Secreted
Tectb	NA	NA	Core matrisome	ECM Glycoproteins	NA	NA	Cell membrane
Bsph1	NA	NA	Core matrisome	ECM Glycoproteins	NA	NA	Secreted
Bsph2	NA	NA	Core matrisome	ECM Glycoproteins	NA	NA	Secreted
Bmper	NA	NA	Core matrisome	ECM Glycoproteins	NA	NA	Secreted
Prg2	RBC	NA	Core matrisome	Proteoglycans	NA	NA	Cytoplasmic granule
Ibsp	NA	NA	Core matrisome	ECM Glycoproteins	NA	NA	Secreted
Coch	NA	NA	Core matrisome	ECM Glycoproteins	NA	NA	Secreted
Col6a4	NA	NA	Core matrisome	Collagens	NA	NA	Secreted
Cthrc1	NA	NA	Core matrisome	ECM Glycoproteins	NA	NA	Secreted
Cdcp2	NA	NA	Core matrisome	ECM Glycoproteins	NA	NA	Secreted
Crim1	NA	NA	Core matrisome	ECM Glycoproteins	NA	NA	Membrane
Crispld1	NA	NA	Core matrisome	ECM Glycoproteins	NA	NA	Secreted
Crispld2	NA	NA	Core matrisome	ECM Glycoproteins	NA	NA	Secreted
Dmbt1	NA	NA	Core matrisome	ECM Glycoproteins	NA	NA	Secreted Cytoplasmic vesicle
Dmp1	NA	NA	Core matrisome	ECM Glycoproteins	NA	NA	Nucleus
Egfem1	NA	NA	Core matrisome	ECM Glycoproteins	NA	NA	NA
Edil3	NA	NA	Core matrisome	ECM Glycoproteins	NA	NA	Secreted
Esm1	NA	NA	Core matrisome	Proteoglycans	NA	NA	Secreted
Fras1	NA	NA	Core matrisome	ECM Glycoproteins	NA	NA	Cell membrane
Fndc7	NA	NA	Core matrisome	ECM Glycoproteins	NA	NA	Secreted
Fndc8	NA	NA	Core matrisome	ECM Glycoproteins	NA	NA	NA
Gldn	NA	NA	Core matrisome	ECM Glycoproteins	NA	NA	Cell membrane
Gas6	NA	NA	Core matrisome	ECM Glycoproteins	NA	NA	Secreted
Igsf10	NA	NA	Core matrisome	ECM Glycoproteins	NA	NA	Secreted
Igfbp1	NA	NA	Core matrisome	ECM Glycoproteins	NA	NA	Secreted
Igfbp5	NA	NA	Core matrisome	ECM Glycoproteins	NA	NA	Secreted
Igfbp6	NA	NA	Core matrisome	ECM Glycoproteins	NA	NA	Secreted
Igfbp7	NA	NA	Core matrisome	ECM Glycoproteins	NA	NA	Secreted
Igfbpl1	NA	NA	Core matrisome	ECM Glycoproteins	NA	NA	Secreted
Impg1	NA	NA	Core matrisome	Proteoglycans	NA	NA	Cell projection
Impg2	NA	NA	Core matrisome	Proteoglycans	NA	NA	Photoreceptor outer segment membrane
Kcp	NA	NA	Core matrisome	ECM Glycoproteins	NA	NA	Secreted
Mfge8	NA	NA	Core matrisome	ECM Glycoproteins	NA	NA	Membrane
Lgi1	NA	NA	Core matrisome	ECM Glycoproteins	NA	NA	Secreted
Lgi2	NA	NA	Core matrisome	ECM Glycoproteins	NA	NA	Secreted
Lgi3	NA	NA	Core matrisome	ECM Glycoproteins	NA	NA	Secreted
Lgi4	NA	NA	Core matrisome	ECM Glycoproteins	NA	NA	Secreted
Mepe	NA	NA	Core matrisome	ECM Glycoproteins	NA	NA	Secreted
Mfap1a	NA	NA	Core matrisome	ECM Glycoproteins	NA	NA	Nucleus
Mfap1b	NA	NA	Core matrisome	ECM Glycoproteins	NA	NA	Nucleus
Nepn	NA	NA	Core matrisome	Proteoglycans	NA	NA	Secreted
Ncan	NA	NA	Core matrisome	Proteoglycans	NA	NA	Secreted
Nyx	NA	NA	Core matrisome	Proteoglycans	NA	NA	Secreted
Oit3	NA	NA	Core matrisome	ECM Glycoproteins	NA	NA	Nucleus envelope
Bglap2	NA	NA	Core matrisome	ECM Glycoproteins	NA	NA	Secreted
Bglap3	NA	NA	Core matrisome	ECM Glycoproteins	NA	NA	Secreted
Otog	NA	NA	Core matrisome	ECM Glycoproteins	NA	NA	Apical cell membrane
Otogl	NA	NA	Core matrisome	ECM Glycoproteins	NA	NA	Secreted
Otol1	NA	NA	Core matrisome	ECM Glycoproteins	NA	NA	Secreted
Egflam	NA	NA	Core matrisome	ECM Glycoproteins	NA	NA	Secreted
Podn	NA	NA	Core matrisome	Proteoglycans	NA	NA	Secreted
Podnl1	NA	NA	Core matrisome	Proteoglycans	NA	NA	Secreted
Creld1	NA	NA	Core matrisome	ECM Glycoproteins	NA	NA	Membrane
Creld2	NA	NA	Core matrisome	ECM Glycoproteins	NA	NA	Endoplasmic reticulum
Nell1	NA	NA	Core matrisome	ECM Glycoproteins	NA	NA	Cytoplasm
Nell2	NA	NA	Core matrisome	ECM Glycoproteins	NA	NA	Secreted
Ndnf	NA	NA	Core matrisome	ECM Glycoproteins	NA	NA	Secreted
Prg3	NA	NA	Core matrisome	Proteoglycans	NA	NA	Note=Localized to the eosinophil secondary granule
Rspo1	NA	NA	Core matrisome	ECM Glycoproteins	NA	NA	Secreted
Rspo2	NA	NA	Core matrisome	ECM Glycoproteins	NA	NA	Secreted
Rspo3	NA	NA	Core matrisome	ECM Glycoproteins	NA	NA	Secreted
Rspo4	NA	NA	Core matrisome	ECM Glycoproteins	NA	NA	Secreted
Sspo	NA	NA	Core matrisome	ECM Glycoproteins	NA	NA	Secreted
Slamf6	NA	NA	Core matrisome	ECM Glycoproteins	NA	NA	Cell membrane
Slit1	NA	NA	Core matrisome	ECM Glycoproteins	NA	NA	Secreted
Slit2	NA	NA	Core matrisome	ECM Glycoproteins	NA	NA	Secreted
Slit3	NA	NA	Core matrisome	ECM Glycoproteins	NA	NA	Secreted
Sbspon	NA	NA	Core matrisome	ECM Glycoproteins	NA	NA	Secreted
Smoc1	NA	NA	Core matrisome	ECM Glycoproteins	NA	NA	Secreted
Smoc2	NA	NA	Core matrisome	ECM Glycoproteins	NA	NA	Secreted
Srpx2	NA	NA	Core matrisome	ECM Glycoproteins	NA	NA	Secreted
Sned1	NA	NA	Core matrisome	ECM Glycoproteins	NA	NA	Secreted
Svep1	NA	NA	Core matrisome	ECM Glycoproteins	NA	NA	Secreted
Srpx	NA	NA	Core matrisome	ECM Glycoproteins	NA	NA	NA
Thsd4	NA	NA	Core matrisome	ECM Glycoproteins	NA	NA	Secreted
Tspear	NA	NA	Core matrisome	ECM Glycoproteins	NA	NA	Secreted
Tinagl1	NA	NA	Core matrisome	ECM Glycoproteins	NA	NA	Secreted
Tnfaip6	NA	NA	Core matrisome	ECM Glycoproteins	NA	NA	NA
Vit	NA	NA	Core matrisome	ECM Glycoproteins	NA	NA	Secreted
Vwa1	NA	NA	Core matrisome	ECM Glycoproteins	NA	NA	Secreted
Vwa2	NA	NA	Core matrisome	ECM Glycoproteins	NA	NA	Secreted
Vwa3a	NA	NA	Core matrisome	ECM Glycoproteins	NA	NA	NA
Vwa5a	NA	NA	Core matrisome	ECM Glycoproteins	NA	NA	NA
Vwa5b1	NA	NA	Core matrisome	ECM Glycoproteins	NA	NA	Secreted
Vwa5b2	NA	NA	Core matrisome	ECM Glycoproteins	NA	NA	NA
Vwa7	NA	NA	Core matrisome	ECM Glycoproteins	NA	NA	Secreted
Vwce	NA	NA	Core matrisome	ECM Glycoproteins	NA	NA	Secreted
Vwde	NA	NA	Core matrisome	ECM Glycoproteins	NA	NA	Secreted
Zp1	NA	NA	Core matrisome	ECM Glycoproteins	NA	NA	Zona pellucida
Zp2	NA	NA	Core matrisome	ECM Glycoproteins	NA	NA	Zona pellucida
Zp3	NA	NA	Core matrisome	ECM Glycoproteins	NA	NA	Zona pellucida
Zp3r	NA	NA	Core matrisome	ECM Glycoproteins	NA	NA	Cytoplasmic vesicle
Zpld1	NA	NA	Core matrisome	ECM Glycoproteins	NA	NA	Cytoplasmic vesicle membrane
Pzp	RBC	Plasma	Matrisome-associated	ECM Regulators	Protease Inhibitor	pi	Secreted
Serpina3k	RBC	Plasma	Matrisome-associated	ECM Regulators	Protease Inhibitor	pi	Secreted
Serpina1c	RBC	Plasma	Matrisome-associated	ECM Regulators	Protease Inhibitor	pi	Secreted
Serpina1a	RBC	Plasma	Matrisome-associated	ECM Regulators	Protease Inhibitor	pi	Secreted
Serpina1b	RBC	Plasma	Matrisome-associated	ECM Regulators	Protease Inhibitor	pi	Secreted
Serpina1d	RBC	Plasma	Matrisome-associated	ECM Regulators	Protease Inhibitor	pi	Secreted
Serpina1e	RBC	Plasma	Matrisome-associated	ECM Regulators	Protease Inhibitor	pi	Secreted
Hpx	RBC	Plasma	Matrisome-associated	ECM-affiliated Proteins	NA	plasma	Secreted
Serpina3m	NA	Plasma	Matrisome-associated	ECM Regulators	NA	pi	Secreted
Plg	RBC	Plasma	Matrisome-associated	ECM Regulators	Protease	coag	Secreted
Mug2	NA	Plasma	Matrisome-associated	ECM Regulators	NA	pi	Secreted
Kng1	RBC	Plasma	Matrisome-associated	ECM Regulators	Protease Inhibitor	coag	Secreted
Serpinc1	RBC	Plasma	Matrisome-associated	ECM Regulators	Protease Inhibitor	pi	Secreted
F2	RBC	Plasma	Matrisome-associated	ECM Regulators	Protease	coag	NA
Itih4	RBC	Plasma	Matrisome-associated	ECM Regulators	Protease Inhibitor	pi	Secreted
Serpinf2	RBC	Plasma	Matrisome-associated	ECM Regulators	Protease Inhibitor	pi	Secreted
Serpina3c	NA	Plasma	Matrisome-associated	ECM Regulators	NA	pi	Secreted
Serpina3n	RBC	Plasma	Matrisome-associated	ECM Regulators	NA	pi	Secreted
Itih1	RBC	Plasma	Matrisome-associated	ECM Regulators	Protease Inhibitor	pi	Secreted
Itih2	RBC	Plasma	Matrisome-associated	ECM Regulators	Protease Inhibitor	pi	Secreted
Serpina3g	RBC	Plasma	Matrisome-associated	ECM Regulators	Protease Inhibitor	pi	Cytoplasm Nucleus
Serping1	RBC	Plasma	Matrisome-associated	ECM Regulators	Protease Inhibitor	pi	Secreted
Itih3	RBC	Plasma	Matrisome-associated	ECM Regulators	Protease Inhibitor	pi	Secreted
Hrg	RBC	Plasma	Matrisome-associated	ECM Regulators	Protease Inhibitor	plasma	Secreted
A2m	RBC	Plasma	Matrisome-associated	ECM Regulators	Protease Inhibitor	pi	Secreted
Serpina3f	RBC	Plasma	Matrisome-associated	ECM Regulators	NA	pi	NA
F13b	RBC	Plasma	Matrisome-associated	ECM Regulators	Crosslinking Enzyme	xl	Secreted
F12	RBC	Plasma	Matrisome-associated	ECM Regulators	Protease	coag	Secreted
Serpina10	RBC	Plasma	Matrisome-associated	ECM Regulators	Protease Inhibitor	pi	Secreted
Cpn2	RBC	Plasma	Matrisome-associated	ECM Regulators	Protease	p	Secreted
Serpind1	RBC	Plasma	Matrisome-associated	ECM Regulators	Protease Inhibitor	pi	NA
Hgfac	RBC	Plasma	Matrisome-associated	Secreted Factors	Signalling	protease	Secreted
F10	RBC	Plasma	Matrisome-associated	ECM Regulators	Protease	coag	Secreted
Serpina6	RBC	Plasma	Matrisome-associated	ECM Regulators	Protease Inhibitor	plasma	Secreted
F13a1	RBC	Plasma	Matrisome-associated	ECM Regulators	Crosslinking Enzyme	xl	Cytoplasm
Agt	NA	Plasma	Matrisome-associated	ECM Regulators	Protease Inhibitor	pi	Secreted
Ambp	RBC	Plasma	Matrisome-associated	ECM Regulators	Protease Inhibitor	pi	Secreted
Masp1	NA	Plasma	Matrisome-associated	ECM Regulators	Protease	comp	Secreted
Habp2	NA	Plasma	Matrisome-associated	ECM Regulators	Protease	NA	Secreted Note=Secreted as an inactive single-chain precursor and is then activated to a heterodimeric form
C1qb	RBC	Plasma	Matrisome-associated	ECM-affiliated Proteins	comp	comp	Secreted
Masp2	NA	Plasma	Matrisome-associated	ECM Regulators	Protease	comp	Secreted
C1qc	RBC	Plasma	Matrisome-associated	ECM-affiliated Proteins	comp	comp	Secreted
Mbl2	NA	Plasma	Matrisome-associated	ECM-affiliated Proteins	NA	comp	Secreted
Serpinf1	RBC	Plasma	Matrisome-associated	ECM Regulators	Protease Inhibitor	pi	Secreted Melanosome
Mst1	NA	Plasma	Matrisome-associated	Secreted Factors	NA	signalling	Secreted
F7	NA	Plasma	Matrisome-associated	ECM Regulators	Protease	coag	Secreted
C1qa	NA	Plasma	Matrisome-associated	ECM-affiliated Proteins	comp	comp	Secreted
Ctsb	RBC	Plasma	Matrisome-associated	ECM Regulators	Protease	p	Lysosome
Mbl1	NA	Plasma	Matrisome-associated	ECM-affiliated Proteins	NA	comp	Secreted
F9	NA	Plasma	Matrisome-associated	ECM Regulators	Protease	coag	Secreted
Cela2a	NA	Plasma	Matrisome-associated	ECM Regulators	Protease	protease	Secreted
Serpina3a	RBC	Plasma	Matrisome-associated	ECM Regulators	NA	pi	Secreted
Igf1	NA	Plasma	Matrisome-associated	Secreted Factors	Signalling	signalling	Secreted
Clec11a	NA	Plasma	Matrisome-associated	ECM-affiliated Proteins	Other ECM	NA	Cytoplasm
Serpina7	NA	Plasma	Matrisome-associated	ECM Regulators	Protease Inhibitor	pi	Secreted
Mmp2	NA	Plasma	Matrisome-associated	ECM Regulators	Protease	p	Secreted
Cela1	NA	Plasma	Matrisome-associated	ECM Regulators	Protease	p	Secreted
Clec3b	NA	Plasma	Matrisome-associated	ECM-affiliated Proteins	Other ECM	NA	Secreted
Pf4	RBC	Plasma	Matrisome-associated	Secreted Factors	Signalling	NA	Secreted
Serpina11	NA	Plasma	Matrisome-associated	ECM Regulators	Protease Inhibitor	pi	Secreted
Cst3	NA	Plasma	Matrisome-associated	ECM Regulators	Protease Inhibitor	NA	Secreted
Ctsd	RBC	Plasma	Matrisome-associated	ECM Regulators	Protease	p	Lysosome Melanosome
Ctss	NA	Plasma	Matrisome-associated	ECM Regulators	Protease	p	Lysosome
Plxdc2	NA	Plasma	Matrisome-associated	ECM-affiliated Proteins	NA	NA	Membrane
Reg3g	NA	Plasma	Matrisome-associated	ECM-affiliated Proteins	NA	NA	Secreted Cytoplasm
Loxl1	NA	Plasma	Matrisome-associated	ECM Regulators	Crosslinking Enzyme	xl	Secreted
S100a9	RBC	Plasma	Matrisome-associated	Secreted Factors	Signalling	NA	Secreted
